test,layer,biterror,acc
1.0,1.0,0.001953125,0.8528258362168397
1.0,2.0,0.001953125,0.8519031141868512
1.0,3.0,0.001953125,0.8565167243367935
1.0,4.0,0.001953125,0.8569780853517878
1.0,5.0,0.001953125,0.851441753171857
1.0,0.0,0.0009765625,0.003690888119953864
1.0,1.0,0.0009765625,0.855594002306805
1.0,2.0,0.0009765625,0.8572087658592848
1.0,3.0,0.0009765625,0.8585928489042676
1.0,4.0,0.0009765625,0.8585928489042676
1.0,5.0,0.0009765625,0.855363321799308
2.0,0.0,0.0625,0.002768166089965398
2.0,1.0,0.0625,0.580161476355248
2.0,2.0,0.0625,0.5093425605536333
2.0,3.0,0.0625,0.7933102652825836
2.0,4.0,0.0625,0.8410611303344867
2.0,5.0,0.0625,0.77439446366782
2.0,0.0,0.03125,0.00392156862745098
2.0,1.0,0.03125,0.7677047289504036
2.0,2.0,0.03125,0.710957324106113
2.0,3.0,0.03125,0.829757785467128
2.0,4.0,0.03125,0.8429065743944637
2.0,5.0,0.03125,0.8053056516724337
2.0,0.0,0.015625,0.0020761245674740486
2.0,1.0,0.015625,0.8373702422145328
2.0,2.0,0.015625,0.8092272202998847
2.0,3.0,0.015625,0.8369088811995387
2.0,4.0,0.015625,0.8449826989619377
2.0,5.0,0.015625,0.8322952710495963
2.0,0.0,0.0078125,0.003690888119953864
2.0,1.0,0.0078125,0.8389850057670127
2.0,2.0,0.0078125,0.8346020761245675
2.0,3.0,0.0078125,0.8519031141868512
2.0,4.0,0.0078125,0.8542099192618223
2.0,5.0,0.0078125,0.8422145328719723
2.0,0.0,0.00390625,0.0029988465974625142
2.0,1.0,0.00390625,0.8505190311418686
2.0,2.0,0.00390625,0.8546712802768166
2.0,3.0,0.00390625,0.855363321799308
2.0,4.0,0.00390625,0.8560553633217993
2.0,5.0,0.00390625,0.8465974625144176
2.0,0.0,0.001953125,0.0059976931949250285
2.0,1.0,0.001953125,0.8551326412918109
2.0,2.0,0.001953125,0.8525951557093425
2.0,3.0,0.001953125,0.8539792387543252
2.0,4.0,0.001953125,0.8567474048442907
2.0,5.0,0.001953125,0.8502883506343714
2.0,0.0,0.0009765625,0.003690888119953864
2.0,1.0,0.0009765625,0.8558246828143022
2.0,2.0,0.0009765625,0.8549019607843137
